# wavelength [nm]	QE (FM1)	QE 1sigma-error_if-used-for-FM2	sensitivity_[ppm/mK]
984.0	0.089268387	0.00306	6.875015393
985.0	0.087815277	0.00303	6.935296753
986.0	0.086362168	0.00299	6.995578113
987.0	0.084909058	0.00296	7.055859473
988.0	0.083455948	0.00292	7.116140833
989.0	0.082002839	0.00289	7.176422193
990.0	0.080549729	0.00285	7.236703552
991.0	0.079096619	0.00282	7.296984912
992.0	0.077643510	0.00278	7.357266272
993.0	0.076190400	0.00275	7.417547632
994.0	0.074737290	0.00271	7.477828992
995.0	0.073284180	0.00267	7.538110352
996.0	0.071831071	0.00264	7.598391712
997.0	0.070377961	0.00261	7.658673072
998.0	0.068924851	0.00257	7.718954432
999.0	0.067471742	0.00253	7.779235792
1000.0	0.066018632	0.00250	7.839517152
1001.0	0.064808000	0.00248	7.928683849
1002.0	0.063597367	0.00245	8.017850547
1003.0	0.062386735	0.00243	8.107017244
1004.0	0.061176103	0.00240	8.196183942
1005.0	0.059965470	0.00237	8.285350639
1006.0	0.058754838	0.00235	8.374517337
1007.0	0.057544206	0.00233	8.463684034
1008.0	0.056333574	0.00230	8.552850732
1009.0	0.055122941	0.00228	8.642017429
1010.0	0.053912309	0.00225	8.731184127
1011.0	0.052701677	0.00223	8.820350824
1012.0	0.051491044	0.00220	8.909517521
1013.0	0.050280412	0.00217	8.998684219
1014.0	0.049069780	0.00215	9.087850916
1015.0	0.047859148	0.00213	9.177017614
1016.0	0.046648515	0.00210	9.266184311
1017.0	0.045437883	0.00208	9.355351009
1018.0	0.044227251	0.00205	9.444517706
1019.0	0.043016618	0.00202	9.533684404
1020.0	0.041805986	0.00200	9.622851101
1021.0	0.040963322	0.00198	9.753538814
1022.0	0.040120658	0.00195	9.884226527
1023.0	0.039277994	0.00193	10.014914240
1024.0	0.038435329	0.00190	10.145601953
1025.0	0.037592665	0.00187	10.276289666
1026.0	0.036750001	0.00185	10.406977379
1027.0	0.035907337	0.00183	10.537665092
1028.0	0.035064673	0.00180	10.668352805
1029.0	0.034222009	0.00178	10.799040518
1030.0	0.033379345	0.00175	10.929728231
1031.0	0.032536680	0.00173	11.060415943
1032.0	0.031694016	0.00170	11.191103656
1033.0	0.030851352	0.00168	11.321791369
1034.0	0.030008688	0.00165	11.452479082
1035.0	0.029166024	0.00163	11.583166795
1036.0	0.028323360	0.00160	11.713854508
1037.0	0.027480695	0.00158	11.844542221
1038.0	0.026638031	0.00155	11.975229934
1039.0	0.025795367	0.00153	12.105917647
1040.0	0.024952703	0.00150	12.236605360
1041.0	0.024503427	0.00149	12.263190127
1042.0	0.024054150	0.00147	12.289774895
1043.0	0.023604874	0.00146	12.316359663
1044.0	0.023155598	0.00144	12.342944430
1045.0	0.022706322	0.00143	12.369529198
1046.0	0.022257045	0.00141	12.396113965
1047.0	0.021807769	0.00139	12.422698732
1048.0	0.021358493	0.00138	12.449283500
1049.0	0.020909216	0.00136	12.475868268
1050.0	0.020459940	0.00135	12.502453035
1051.0	0.020010664	0.00134	12.529037802
1052.0	0.019561387	0.00132	12.555622570
1053.0	0.019112111	0.00130	12.582207337
1054.0	0.018662835	0.00129	12.608792105
1055.0	0.018213558	0.00128	12.635376873
1056.0	0.017764282	0.00126	12.661961640
1057.0	0.017315006	0.00124	12.688546408
1058.0	0.016865730	0.00123	12.715131175
1059.0	0.016416453	0.00121	12.741715942
1060.0	0.015966393	0.00120	12.768300710
1061.0	0.015525203	0.00000	0.000000000
1062.0	0.015096545	0.00000	0.000000000
1063.0	0.014680078	0.00000	0.000000000
1064.0	0.014275438	0.00000	0.000000000
1065.0	0.013882265	0.00000	0.000000000
1066.0	0.013500200	0.00000	0.000000000
1067.0	0.013128885	0.00000	0.000000000
1068.0	0.012767956	0.00000	0.000000000
1069.0	0.012417059	0.00000	0.000000000
1070.0	0.012075830	0.00000	0.000000000
1071.0	0.011743914	0.00000	0.000000000
1072.0	0.011420949	0.00000	0.000000000
1073.0	0.011106576	0.00000	0.000000000
1074.0	0.010800435	0.00000	0.000000000
1075.0	0.010502167	0.00000	0.000000000
1076.0	0.010211413	0.00000	0.000000000
1077.0	0.009927815	0.00000	0.000000000
1078.0	0.009651012	0.00000	0.000000000
1079.0	0.009380643	0.00000	0.000000000
1080.0	0.009116352	0.00000	0.000000000
1081.0	0.008857812	0.00000	0.000000000
1082.0	0.008604836	0.00000	0.000000000
1083.0	0.008357270	0.00000	0.000000000
1084.0	0.008114962	0.00000	0.000000000
1085.0	0.007877758	0.00000	0.000000000
1086.0	0.007645506	0.00000	0.000000000
1087.0	0.007418053	0.00000	0.000000000
1088.0	0.007195244	0.00000	0.000000000
1089.0	0.006976927	0.00000	0.000000000
1090.0	0.006762951	0.00000	0.000000000
1091.0	0.006553158	0.00000	0.000000000
1092.0	0.006347400	0.00000	0.000000000
1093.0	0.006145521	0.00000	0.000000000
1094.0	0.005947368	0.00000	0.000000000
1095.0	0.005752788	0.00000	0.000000000
1096.0	0.005561630	0.00000	0.000000000
1097.0	0.005373737	0.00000	0.000000000
1098.0	0.005188960	0.00000	0.000000000
1099.0	0.005007142	0.00000	0.000000000
1100.0	0.004828132	0.00000	0.000000000
