# wavelength [nm]	QE (FM1)	QE 1sigma-error_if-used-for-FM2	sensitivity_[ppm/mK]
479.0	0.875362663	0.02474	0.447392155
480.0	0.877498843	0.02480	0.446261637
481.0	0.878899403	0.02484	0.444775653
482.0	0.880299963	0.02488	0.443289669
483.0	0.881700523	0.02492	0.441803686
484.0	0.883101083	0.02496	0.440317702
485.0	0.884501643	0.02500	0.438831718
486.0	0.885902202	0.02504	0.437345734
487.0	0.887302762	0.02508	0.435859751
488.0	0.888703322	0.02512	0.434373767
489.0	0.890103882	0.02516	0.432887783
490.0	0.891504442	0.02520	0.431401800
491.0	0.892905002	0.02524	0.429915816
492.0	0.894305562	0.02528	0.428429832
493.0	0.895706122	0.02532	0.426943848
494.0	0.897106682	0.02536	0.425457865
495.0	0.898507241	0.02540	0.423971881
496.0	0.899907801	0.02544	0.422485897
497.0	0.901308361	0.02548	0.420999913
498.0	0.902708921	0.02552	0.419513929
499.0	0.904109481	0.02556	0.418027946
500.0	0.905510041	0.02560	0.416541962
501.0	0.906417302	0.02563	0.415858182
502.0	0.907324564	0.02565	0.415174402
503.0	0.908231825	0.02568	0.414490622
504.0	0.909139086	0.02570	0.413806842
505.0	0.910046347	0.02573	0.413123062
506.0	0.910953608	0.02575	0.412439282
507.0	0.911860870	0.02578	0.411755502
508.0	0.912768131	0.02580	0.411071722
509.0	0.913675392	0.02583	0.410387942
510.0	0.914582654	0.02585	0.409704162
511.0	0.915489915	0.02588	0.409020383
512.0	0.916397176	0.02590	0.408336603
513.0	0.917304437	0.02593	0.407652823
514.0	0.918211699	0.02595	0.406969043
515.0	0.919118960	0.02598	0.406285263
516.0	0.920026221	0.02600	0.405601483
517.0	0.920933482	0.02602	0.404917703
518.0	0.921840744	0.02605	0.404233923
519.0	0.922748005	0.02608	0.403550143
520.0	0.923655266	0.02610	0.402866363
521.0	0.924125421	0.02612	0.401872512
522.0	0.924595577	0.02613	0.400878661
523.0	0.925065733	0.02615	0.399884810
524.0	0.925535888	0.02616	0.398890959
525.0	0.926006044	0.02618	0.397897108
526.0	0.926476199	0.02619	0.396903257
527.0	0.926946354	0.02620	0.395909406
528.0	0.927416510	0.02622	0.394915555
